"Age","Mean_Eggs_All","Median_Eggs_All","Mean_Eggs_Adults","Median_Eggs_Adults","Max_Eggs_Simulated","Min_Eggs_Simulated","Min_Eggs_Simulated_Adults","Mean_Length_All","Median_Length_All","Mean_Length_Adult","Median_Length_Adult","Proportion_Adults"
1,0,0,0,0,0,0,0,267.092217092177,264.895843261122,NA,NA,0
2,0,0,0,0,0,0,0,336.690651459291,333.918532850519,NA,NA,0
3,0,0,0,0,0,0,0,400.389088082087,397.079482899676,NA,NA,0
4,0.126469,0,18067,17938,23780,0,12140,458.593974726296,454.80850731562,818.315223956807,814.099515146304,7e-06
5,3.819238,0,18585.099756691,17546,45234,0,5497,511.751880868111,507.468114262602,826.269248949421,819.138425294782,0.0002055
6,43.9071195,0,19194.3691803279,18368,61560,0,5858,560.270302787571,555.646739857174,831.824106694931,822.726110647791,0.0022875
7,243.813395,0,19395.6799649974,18477,70613,0,5838,604.70135494782,599.693898689759,837.129064052423,826.356591166046,0.0125705
8,812.3588515,0,19683.0502883311,18701,68410,0,4477,645.168660624769,639.900567842036,843.664357979571,832.01269147229,0.041272
9,1936.295737,0,20058.3814550465,19001,101022,0,5053,682.192970857694,676.500340099654,851.054294549056,837.946722397122,0.096533
10,3623.7824705,0,20457.397455656,19364,95152,0,4698,715.986446896691,710.017215667713,859.041984747716,844.679301310717,0.177138
11,5752.490622,0,20897.9337150247,19713,122194,0,4383,747.013401687054,740.930210611014,867.823664200766,852.530467460734,0.275266
12,8099.841084,0,21382.0212847679,20107,120186,0,4508,775.229055409815,768.851990416471,877.092565704218,860.961893665246,0.3788155
13,10488.4964835,0,21911.3819383803,20545,114292,0,4455,801.171403566838,794.534788630623,887.079604569697,870.382725477684,0.478678
14,12757.2616705,14179,22466.5534359984,20991,152014,0,4730,824.602087914698,817.845472022028,897.116065210461,880.278577478003,0.5678335
15,14864.9118135,16588,23023.6368323067,21445,155304,0,4340,846.32470387363,839.375146980262,907.429690174865,890.526329454519,0.645637
16,16754.514835,18193,23615.7863664394,21915,173559,0,4617,865.934514035745,858.81793194531,917.732067889692,900.989084474223,0.7094625
17,18430.884883,19425,24205.6831151468,22412,197651,0,4288,883.979175446089,876.680772914811,928.072882260746,911.663703282496,0.761428
18,19960.154668,20489,24830.0623894023,22925,206651,0,4457,900.479624263418,893.144591666208,938.150706237596,922.099640913917,0.8038705
19,21275.2590825,21392,25408.6795499942,23403,265872,0,4739,915.439489766221,907.844529695925,947.832441649213,932.254878889132,0.8373225
20,22461.032804,22184,25995.1967853545,23888,256278,0,4460,929.224194661893,921.415968689991,957.302151139585,942.034405718127,0.8640455
21,23511.0594105,22903,26550.5385084035,24354,207440,0,4185,941.674746184935,933.923899699772,966.120856780539,951.313157534119,0.885521
22,24476.392102,23569,27114.557171074,24818,286457,0,4788,953.207885086157,945.278229580105,974.69804748722,960.228732122771,0.902703
23,25313.5584635,24155,27628.8717288102,25252,207456,0,4771,963.54410577981,955.571227923189,982.599111495813,968.583644786798,0.9161995
24,26103.9673405,24708,28137.2039001292,25668,227517,0,3948,973.173718317868,965.117020989808,990.053467620927,976.425710519203,0.9277385
25,26816.794451,25242,28623.2049130634,26097,229562,0,4390,981.995580556988,973.845303507006,997.125131391697,983.866639953693,0.93689
26,27460.0160755,25731,29064.9229933466,26483,257453,0,4629,989.981983643853,981.830047281147,1003.51976204827,990.647727649454,0.944782
27,28015.7289375,26121,29481.3345205185,26813,271118,0,4722,997.085392058629,988.783852877343,1009.53405237738,996.799373649996,0.950287
28,28579.4630945,26545,29908.7578365453,27177,273547,0,4607,1004.11843781613,995.908117822373,1015.49067971836,1002.99618787064,0.955555
29,29056.742869,26906,30281.8559137006,27493,265917,0,4572,1009.97486995711,1001.63244770725,1020.51646843078,1008.2191136862,0.959543
30,29489.792854,27238,30613.873044446,27768,282251,0,5049,1015.53270837186,1007.23002570852,1025.23819699986,1013.1480084693,0.963282
31,29885.9103825,27540,30939.9733961604,28040,277916,0,4762,1020.43594406932,1012.01180994128,1029.57364915469,1017.60656763364,0.965932
32,30255.3781365,27847,31231.3097182301,28312,365661,0,4410,1025.16237548377,1016.7634394851,1033.65453146311,1021.87502463213,0.9687515
33,30619.64444,28130,31531.422828212,28563,338220,0,5145,1029.64482185957,1021.10600787265,1037.61576320594,1025.88021269055,0.9710835
34,30930.9790035,28361,31788.2280432565,28769,318269,0,4741,1033.5202283206,1024.99694061661,1041.03498467545,1029.44299251482,0.9730325
35,31182.7622405,28567,31998.7791058683,28952,318935,0,4489,1036.86773540617,1028.32478815445,1044.04321715429,1032.57118992582,0.9744985
36,31468.6007345,28784,32236.4074880504,29148,299907,0,5419,1040.22750120165,1031.58989674138,1046.99253510108,1035.54726184378,0.976182
37,31699.2035845,28970,32438.7420251903,29321,344702,0,4996,1043.14569184854,1034.55528948373,1049.67558577836,1038.34631742305,0.977202
38,31920.320056,29152,32633.7593018572,29491,319141,0,5030,1045.90536947937,1037.35509988455,1052.22534394773,1041.00205217341,0.978138
39,32146.63686,29320,32830.2278645966,29648,362416,0,4525,1048.45438981041,1039.74062621196,1054.51086787392,1043.23015654485,0.979178
40,32326.92199,29473,32980.9675576355,29788,306206,0,4617,1050.63038539792,1042.05673488118,1056.42937245853,1045.36764748311,0.980169
41,32455.4834165,29593,33091.5020866045,29897,264178,0,4745,1052.55553971074,1043.97507165316,1058.21161992367,1047.1834945733,0.98078
