"Age","Mean_Eggs_All","Median_Eggs_All","Mean_Eggs_Adults","Median_Eggs_Adults","Max_Eggs_Simulated","Min_Eggs_Simulated","Min_Eggs_Simulated_Adults","Mean_Length_All","Median_Length_All","Mean_Length_Adult","Median_Length_Adult","Proportion_Adults"
1,0,0,0,0,0,0,0,266.989246958212,264.773613444669,NA,NA,0
2,0,0,0,0,0,0,0,336.72375649436,333.936081017741,NA,NA,0
3,0,0,0,0,0,0,0,400.371378312588,397.084345628705,NA,NA,0
4,0.147116,0,21016.5714285714,18646,30379,0,15071,458.603560859518,454.900557775252,830.32843785453,812.337544498072,7e-06
5,3.678108,0,18959.3195876289,19020.5,44330,0,7708,511.631659664343,507.48902097032,824.494541059678,817.370858502517,0.000194
6,44.344325,0,19229.9761491761,18197.5,58946,0,6890,560.227275318867,555.764616050669,832.24717133024,822.81853542102,0.002306
7,245.969486,0,19389.0498186978,18404,63510,0,4792,604.735486749804,599.792016442539,837.557678705958,827.169341877334,0.012686
8,815.826975,0,19678.3968112306,18714,88907,0,4662,645.108866126077,639.766180749516,843.389307793341,831.640833925556,0.041458
9,1933.449364,0,20075.2711452601,19020,86337,0,4793,682.100239511639,676.431489705008,851.064424645773,837.873285968811,0.09631
10,3630.483033,0,20437.3059727539,19337,89755,0,5072,716.168532891308,710.274646512674,859.265371975105,844.884437134489,0.17764
11,5756.730334,0,20903.4638629464,19717,118794,0,4569,747.142805697715,740.931538382829,868.003741044858,852.66470651353,0.275396
12,8119.489473,0,21404.0840953965,20136,124462,0,4577,775.390337668635,768.916426681493,877.328971488789,861.304247972207,0.379343
13,10498.129971,0,21896.6045269387,20527,113521,0,4597,801.272347060465,794.674707253461,886.971509292315,870.284439602078,0.479441
14,12751.172593,14180,22445.1773586832,20975,131283,0,4414,824.717463119893,817.820180821741,897.118981310652,880.256535103552,0.568103
15,14849.958024,16581,23023.1550400697,21449,151956,0,4796,846.135131459346,839.180971230775,907.362553190204,890.461642316808,0.645001
16,16759.037263,18177,23628.4054323076,21935,171018,0,4513,865.875675253115,858.813818988867,917.744964105179,900.976453879076,0.709275
17,18433.7223,19420,24210.8404048948,22399,186225,0,5289,883.765712656411,876.422184803109,927.857835186694,911.488465716063,0.761383
18,19928.178896,20466,24788.1420205488,22876,183017,0,4582,900.292490596056,892.846862000441,937.891126039221,921.877291479445,0.80394
19,21271.337666,21376,25411.477172921,23394,174672,0,4805,915.514116505988,908.013025624143,947.974249998754,932.301000546085,0.837076
20,22444.047472,22179,25971.9769303049,23884,178734,0,4961,929.003879864437,921.329451366478,957.055700230431,941.907867132703,0.864164
21,23497.123274,22894,26549.0118310101,24341,209164,0,4797,941.495296269607,933.830952958734,966.063143382641,951.289093709133,0.885047
22,24481.502896,23564,27113.6709590319,24806,226234,0,4816,953.134075011451,945.309749644638,974.570738368536,960.300686769714,0.902921
23,25338.76389,24181,27652.8663583305,25274,216926,0,4398,963.529535199033,955.473734080358,982.541562189371,968.401210123426,0.916316
24,26102.858764,24723,28141.3021247051,25686,224842,0,5173,973.133267147435,965.124302544428,990.062687302482,976.536317991947,0.927564
25,26800.738884,25236,28614.4057645761,26088,257688,0,4902,981.849453229483,973.965319853747,997.047225530149,983.865559274863,0.936617
26,27439.089308,25679,29065.107692764,26450,260595,0,4434,989.947996505323,981.931928408485,1003.67690591869,990.894358536051,0.944056
27,28009.422581,26106,29483.0440907435,26808,404289,0,4946,996.986189267552,988.749827576143,1009.52356076915,996.730449571983,0.950018
28,28571.87373,26549,29902.1610717605,27177,345442,0,4935,1003.99529970651,995.699680593931,1015.36483906515,1002.88640324638,0.955512
29,29041.707408,26885,30261.5820416823,27468,262582,0,3994,1009.86668136359,1001.22069319366,1020.34465304361,1007.7598346477,0.959689
30,29505.055137,27267,30614.0808291155,27792,323050,0,4528,1015.78919412059,1007.27389916986,1025.37902870809,1013.14173879428,0.963774
31,29887.646198,27554,30938.3432739258,28055,257905,0,5150,1020.63160702544,1012.25066759408,1029.75108981621,1017.75289917402,0.966039
32,30275.68373,27859,31243.7720055933,28323,297693,0,5305,1025.36120524857,1016.96223629798,1033.7855091877,1022.03319811419,0.969015
33,30604.081164,28104,31513.5950301656,28537,273046,0,4678,1029.62745881149,1021.16030986151,1037.58459003547,1025.93476002996,0.971139
34,30923.117415,28358,31780.5568385028,28765,371846,0,4228,1033.56133622452,1024.93035443559,1041.07658336785,1029.33912672452,0.97302
35,31231.252994,28600,32039.2837296621,28990,340704,0,5367,1037.0325691556,1028.51829882054,1044.13999859754,1032.74524259788,0.97478
36,31466.121676,28792,32243.3806089596,29166,305637,0,4589,1040.05402226198,1031.36574125209,1046.8969836077,1035.35763593507,0.975894
37,31704.888651,28987,32446.5519351333,29340,262018,0,5189,1043.3294983328,1034.57531268271,1049.87658470271,1038.37528615563,0.977142
38,31917.016237,29144,32626.3456170605,29482,264793,0,4777,1046.02147212212,1037.23389925527,1052.30097019247,1040.90174048273,0.978259
39,32144.302589,29339,32827.5757506745,29665,278161,0,4935,1048.43801153362,1039.85353889767,1054.48411710795,1043.35959868059,0.979186
40,32296.97973,29454,32961.9205533222,29768,315436,0,4198,1050.39142926444,1041.77259732106,1056.29654694576,1045.18500870606,0.979827
41,32453.340573,29593,33089.3172505557,29902,271787,0,5112,1052.4926748646,1043.80371092593,1058.14679760186,1047.00537702372,0.98078
