"Age","Mean_Eggs_All","Median_Eggs_All","Mean_Eggs_Adults","Median_Eggs_Adults","Max_Eggs_Simulated","Min_Eggs_Simulated","Min_Eggs_Simulated_Adults","Mean_Length_All","Median_Length_All","Mean_Length_Adult","Median_Length_Adult","Proportion_Adults"
1,0,0,0,0,0,0,0,267.018891463371,264.814450546039,NA,NA,0
2,0,0,0,0,0,0,0,336.716295906081,333.932559880249,NA,NA,0
3,0,0,0,0,0,0,0,400.375409970254,397.082310272097,NA,NA,0
4,0.0588311999999999,0,22627.3846153846,21417,46376,0,13459,458.515088274492,454.745627875964,835.901884566255,823.636363741879,2.6e-06
5,3.8958308,0,19004.0526829268,18570,63646,0,5835,511.681244933713,507.480108544644,827.72422169479,817.998252220842,0.000205
6,43.7661018,0,19083.5012644981,18156,75315,0,5289,560.250117017622,555.623260620938,831.323274484202,822.072733797393,0.0022934
7,244.1827996,0,19407.9290074394,18443,71697,0,4735,604.676309285497,599.700229116331,837.316692024523,826.975584746079,0.0125816
8,815.0204254,0,19717.9180674505,18763,71548,0,4948,645.218767528616,639.967106246309,843.69350683699,831.886405141883,0.041334
9,1937.0855734,0,20052.8947916537,19005,95530,0,4157,682.291608181911,676.673070573329,851.105385338841,837.944331535092,0.0965988
10,3625.8371358,0,20455.7627690652,19352,102338,0,4652,716.070565511727,710.195904935721,859.090495832534,844.789742909627,0.1772526
11,5753.976692,0,20892.1905299972,19714,113489,0,4524,746.989758260454,740.827912534683,867.832323782097,852.545308053593,0.2754128
12,8104.7078812,0,21372.9155215944,20102,126178,0,4015,775.342988975082,768.928394537875,877.221105475769,861.121321874887,0.3792046
13,10478.1614792,0,21906.064778066,20530,143413,0,3534,801.100314238631,794.456850133533,887.045881286723,870.355762763108,0.4783224
14,12751.1107332,14184,22433.1273650813,20961,167760,0,4350,824.667764684912,817.909837175756,897.01348745722,880.123696153115,0.5684054
15,14859.3814212,16588,23024.70691272,21445,185355,0,4282,846.289456229406,839.346384873511,907.438605435966,890.461897503225,0.6453668
16,16748.460724,18178,23616.4437501904,21923,177320,0,4339,865.957648205969,858.830961106478,917.802520733923,901.042078484542,0.7091864
17,18428.7731032,19425,24206.3239891315,22409,194463,0,3988,883.89821985819,876.660635206854,928.033881946786,911.592700974734,0.7613206
18,19936.3725424,20481,24818.758406052,22918,223014,0,4438,900.37361465944,892.982394686131,938.13354207824,922.075327018906,0.8032784
19,21268.331483,21376,25402.2475204291,23394,195927,0,4380,915.365257841813,907.79878250239,947.781373469069,932.088016220186,0.8372618
20,22470.8023048,22188,25998.550872384,23890,239422,0,4462,929.211148355948,921.466451108178,957.215103335753,941.9894878549,0.8643098
21,23520.2689162,22912,26563.3684001175,24359,260773,0,4248,941.746518011211,933.986986750721,966.229610169182,951.452307918546,0.88544
22,24477.2680978,23574,27112.7463379308,24820,250028,0,3916,953.158063802787,945.330983536998,974.616276176913,960.28638780825,0.9027956
23,25332.480779,24173,27639.0296661144,25257,290880,0,4215,963.614509913346,955.73691936273,982.58174602272,968.711354168338,0.9165474
24,26118.5806462,24729,28151.9995755414,25687,273360,0,4619,973.362196561059,965.298153650356,990.247438148094,976.680945818487,0.92777
25,26824.0704282,25249,28630.2498204744,26099,241327,0,3971,982.124291782936,974.011648819093,997.258077650011,983.969451064567,0.9369136
26,27452.8794438,25705,29078.4706347784,26472,328105,0,4592,989.869395254464,981.667890308548,1003.58277184266,990.562980368871,0.9440964
27,28032.258158,26140,29494.4452828998,26830,304314,0,4688,997.285685936941,989.063215104941,1009.70452824388,997.000059314043,0.950425
28,28550.4454822,26533,29883.3567500059,27161,275490,0,4998,1003.81768271276,995.529557909104,1015.21808761135,1002.73249567925,0.9553962
29,29035.4088844,26890,30258.2916914517,27467,345540,0,4813,1009.89168974369,1001.67793474065,1020.39849057659,1008.21142111363,0.9595852
30,29468.1229098,27224,30598.9562981274,27756,303478,0,4222,1015.42325575287,1007.10771200815,1025.19202542223,1013.10673860636,0.9630434
31,29886.114764,27545,30932.0127238283,28041,310853,0,4757,1020.53883500203,1012.13479297581,1029.60989060584,1017.65814836694,0.9661872
32,30263.6106442,27845,31240.8236066149,28307,386960,0,4945,1025.23562423926,1016.73184542368,1033.74266731157,1021.8921177506,0.96872
33,30600.6261674,28108,31511.8220127198,28539,304723,0,4755,1029.52026609333,1020.99689263453,1037.48071356913,1025.75596704885,0.971084
34,30897.8184194,28330,31754.7717425063,28735,319011,0,4763,1033.37011953813,1024.85058256124,1040.88789608698,1029.33113211484,0.9730134
35,31206.5866814,28581,32021.2455948271,28967,358923,0,4585,1036.96325012174,1028.42874410502,1044.12514311607,1032.6756148521,0.9745588
36,31461.6830094,28785,32240.4709289719,29155,353556,0,4549,1040.22076191749,1031.58221814437,1047.08422447993,1035.61089051776,0.9758444
37,31710.8746206,28982,32449.8750960883,29333,398977,0,4537,1043.28370539937,1034.71325959437,1049.81365510182,1038.5390296567,0.9772264
38,31906.7729008,29138,32617.0215927917,29478,346838,0,4401,1045.81758342267,1037.21995132756,1052.10085630002,1040.85706746205,0.9782246
39,32118.7996584,29314,32803.098536347,29643,374038,0,4066,1048.29788908182,1039.60921347356,1054.36429131118,1043.13439242121,0.9791392
40,32304.6373378,29458,32963.5927421527,29775,359173,0,4400,1050.60406624435,1041.85476737239,1056.45539588203,1045.23534067504,0.9800096
41,32477.9566408,29601,33116.9616628697,29908,373446,0,4952,1052.69248327955,1044.06315708396,1058.37480093542,1047.30152107657,0.9807046
