"Age","Mean_Eggs_Produced","Median_Eggs_Produced","Max_Eggs_Simulated","Min_Eggs_Simulated","Mean_Length","Median_Length"
1,5444.737521,5191,25115,1187,267.020960843013,264.805455803003
2,6372.066583,6063,28057,1423,336.747707994044,333.981354955295
3,7357.209321,6983,30915,1434,400.373538267286,397.088191691125
4,8396.058813,7948,39364,1732,458.622713344262,454.892988386943
5,9468.714865,8938,48673,1868,511.637217651381,507.419977889927
6,10573.470499,9957,58573,1942,560.371210132389,555.715126512174
7,11698.613205,10989,63519,2152,604.673127014156,599.702505854198
8,12839.716393,12025,76906,2502,645.141834942069,639.86907365718
9,13969.592993,13044,84126,2502,682.245047052535,676.584498833106
10,15089.492236,14062,94031,2718,716.027318280605,710.192717644465
11,16207.818339,15074,102127,2509,747.020829997861,740.89341781654
12,17289.946342,16036,111038,2674,775.319883499837,768.888288174158
13,18338.796164,16978,111839,2792,801.306557428939,794.8075094516
14,19378.587963,17897,180786,3093,824.786109384029,818.019680747586
15,20350.161994,18762,122897,3153,846.352578210689,839.326957643636
16,21300.544977,19597,171970,3846,866.071234335961,858.947132672869
17,22198.189435,20397,172244,3784,884.003785526544,876.782950321993
18,23040.387017,21133,172124,3536,900.236579399587,892.854816458114
19,23864.051878,21856,183555,3500,915.400888379346,907.830360575044
20,24644.001318,22548,201066,3674,929.330419881618,921.697702902571
21,25367.9551,23178.5,197833,3883,941.715921315779,933.980960288464
22,26062.592419,23789,252109,3823,953.322360549591,945.532112303152
23,26674.748959,24314,211583,3324,963.709298498282,955.888027846997
24,27279.809361,24840,227968,3532,973.081732305887,965.148572474923
25,27818.566623,25303,227819,4069,981.796848644029,973.668217748946
26,28359.11202,25769,263414,3683,989.829996676539,981.643641450948
27,28852.36445,26198,234454,4527,997.357438626174,989.211786132122
28,29301.894276,26585,267917,3873,1003.99768228589,995.81686963626
29,29684.04717,26921,282670,4053,1009.83988444227,1001.61126876142
30,30079.455105,27252,283957,4416,1015.36620386116,1007.06572366023
31,30467.841025,27596,309633,3655,1020.72157098368,1012.23236585578
32,30775.862323,27898,273630,4770,1025.33942891374,1017.11093844546
33,31071.8578,28152.5,283584,3982,1029.52001045844,1021.16758941473
34,31388.988573,28407,304387,4561,1033.66859309732,1025.11542996705
35,31637.730725,28606,326250,4583,1037.1767595652,1028.41582592886
36,31863.949433,28817,293533,4219,1040.2252054533,1031.46558212892
37,32068.266816,28988,287859,4367,1043.09157975863,1034.39660955116
38,32295.409436,29167,307692,4538,1045.8770166322,1037.32241066584
39,32474.795181,29324,257564,3934,1048.49704955134,1039.93382578228
40,32634.867324,29468,337947,5107,1050.67005675983,1042.00572732653
41,32796.309788,29615,414278,3630,1052.65872712986,1044.00502273386
