"Age","Mean_Eggs_All","Median_Eggs_All","Mean_Eggs_Adults","Median_Eggs_Adults","Max_Eggs_Simulated","Min_Eggs_Simulated","Min_Eggs_Simulated_Adults","Mean_Length_All","Median_Length_All","Mean_Length_Adult","Median_Length_Adult","Proportion_Adults"
1,5445.4587615,5191,5445.4587615,5191,25061,1173,1173,267.049053510015,264.836298302413,267.049053510015,264.836298302413,1
2,6371.8631225,6062,6371.8631225,6062,29187,1298,1298,336.715647954455,333.98946048415,336.715647954455,333.98946048415,1
3,7357.0822805,6982,7357.0822805,6982,33519,1509,1509,400.382062143045,397.077360172996,400.382062143045,397.077360172996,1
4,8393.4214905,7947,8393.4214905,7947,39786,1498,1498,458.506903714217,454.770370749363,458.506903714217,454.770370749363,1
5,9467.165136,8939,9467.165136,8939,52841,1744,1744,511.635737854733,507.413413014517,511.635737854733,507.413413014517,1
6,10576.934425,9959,10576.934425,9959,64445,1927,1927,560.236364672581,555.630509314988,560.236364672581,555.630509314988,1
7,11702.8630625,10991,11702.8630625,10991,58821,1765,1765,604.677960513823,599.701086478893,604.677960513823,599.701086478893,1
8,12829.2671705,12016,12829.2671705,12016,88829,2375,2375,645.092936614855,639.745698964272,645.092936614855,639.745698964272,1
9,13964.765258,13046,13964.765258,13046,98967,2437,2437,682.235664695649,676.543811472595,682.235664695649,676.543811472595,1
10,15093.8777575,14064,15093.8777575,14064,91319,2540,2540,716.12471523205,710.289354968721,716.12471523205,710.289354968721,1
11,16202.607416,15062,16202.607416,15062,117516,3061,3061,747.00911199771,740.939910226441,747.00911199771,740.939910226441,1
12,17291.4128635,16034,17291.4128635,16034,136820,2644,2644,775.311544491502,768.964180240499,775.311544491502,768.964180240499,1
13,18342.203284,16975,18342.203284,16975,143836,2961,2961,801.105782793151,794.66459230938,801.105782793151,794.66459230938,1
14,19367.475194,17884,19367.475194,17884,266007,2980,2980,824.784355004837,817.914133652762,824.784355004837,817.914133652762,1
15,20352.2723685,18755,20352.2723685,18755,184825,3367,3367,846.292179518047,839.293832005619,846.292179518047,839.293832005619,1
16,21282.102207,19581,21282.102207,19581,160494,3364,3364,865.862771057405,858.705702466163,865.862771057405,858.705702466163,1
17,22206.13515,20399,22206.13515,20399,188540,3502,3502,883.927527937122,876.654064953494,883.927527937122,876.654064953494,1
18,23053.862008,21142,23053.862008,21142,203955,3447,3447,900.449991489459,892.984666000853,900.449991489459,892.984666000853,1
19,23878.635062,21870,23878.635062,21870,190802,3429,3429,915.561581607005,908.01600769996,915.561581607005,908.01600769996,1
20,24648.493017,22548,24648.493017,22548,266155,3137,3137,929.265810056068,921.595422872838,929.265810056068,921.595422872838,1
21,25364.0647635,23168,25364.0647635,23168,237451,3527,3527,941.732966815068,933.878112042259,941.732966815068,933.878112042259,1
22,26033.2379565,23753,26033.2379565,23753,320102,3769,3769,953.089034248923,945.316225206905,953.089034248923,945.316225206905,1
23,26677.1785695,24319,26677.1785695,24319,246785,3753,3753,963.701024066905,955.756458261118,963.701024066905,955.756458261118,1
24,27286.440774,24854,27286.440774,24854,212839,3900,3900,973.254269603737,965.29163743392,973.254269603737,965.29163743392,1
25,27841.602712,25326,27841.602712,25326,209041,3764,3764,981.975592505356,974.041578773524,981.975592505356,974.041578773524,1
26,28356.315843,25769,28356.315843,25769,250251,3956,3956,989.890232780566,981.706401600086,989.890232780566,981.706401600086,1
27,28839.484297,26197,28839.484297,26197,371508,4328,4328,997.235936307661,989.059620089673,997.235936307661,989.059620089673,1
28,29290.8094335,26579,29290.8094335,26579,258034,4155,4155,1003.89012192929,995.57465725137,1003.89012192929,995.57465725137,1
29,29701.691639,26946,29701.691639,26946,277822,4243,4243,1010.04821773852,1001.79620515837,1010.04821773852,1001.79620515837,1
30,30093.7772145,27284,30093.7772145,27284,246025,3849,3849,1015.70348512327,1007.2319288697,1015.70348512327,1007.2319288697,1
31,30463.998751,27599,30463.998751,27599,291300,4105,4105,1020.79040461479,1012.38408054324,1020.79040461479,1012.38408054324,1
32,30761.77176,27868,30761.77176,27868,322774,3549,3549,1025.26260326707,1016.87394621458,1025.26260326707,1016.87394621458,1
33,31090.844061,28134,31090.844061,28134,274915,4361,4361,1029.62841874363,1021.13727573134,1029.62841874363,1021.13727573134,1
34,31362.3422295,28372,31362.3422295,28372,341635,4702,4702,1033.31946827698,1024.75924150934,1033.31946827698,1024.75924150934,1
35,31632.6176185,28600,31632.6176185,28600,328094,3236,3236,1037.03039172055,1028.54766855773,1037.03039172055,1028.54766855773,1
36,31843.45433,28808,31843.45433,28808,308908,4612,4612,1040.19251030694,1031.70317746689,1040.19251030694,1031.70317746689,1
37,32079.726949,28996,32079.726949,28996,293082,4526,4526,1043.11591120054,1034.34611895647,1043.11591120054,1034.34611895647,1
38,32305.744486,29186,32305.744486,29186,321695,3786,3786,1045.99219146064,1037.26355631664,1045.99219146064,1037.26355631664,1
39,32466.1099405,29332,32466.1099405,29332,316401,4661,4661,1048.40113584632,1039.77245503918,1048.40113584632,1039.77245503918,1
40,32638.19474,29466,32638.19474,29466,351505,4434,4434,1050.65264198393,1042.07870736735,1050.65264198393,1042.07870736735,1
41,32799.9587745,29617,32799.9587745,29617,332315,4470,4470,1052.68104207237,1043.91509380021,1052.68104207237,1043.91509380021,1
