"Age","Mean_Eggs_All","Median_Eggs_All","Mean_Eggs_Adults","Median_Eggs_Adults","Max_Eggs_Simulated","Min_Eggs_Simulated","Min_Eggs_Simulated_Adults","Mean_Length_All","Median_Length_All","Mean_Length_Adult","Median_Length_Adult","Proportion_Adults"
1,5390.618587,5127,5390.618587,5127,22953,1089,1089,261.205269453734,261.210809710311,261.205269453734,261.210809710311,1
2,6381.9678605,6069,6381.9678605,6069,31326,1239,1239,337.029677931176,337.039724061391,337.029677931176,337.039724061391,1
3,7435.13749,7071,7435.13749,7071,32538,1325,1325,405.52032726394,405.518738046661,405.52032726394,405.518738046661,1
4,8532.928593,8115,8532.928593,8115,36683,1659,1659,467.541102199791,467.544218515634,467.541102199791,467.544218515634,1
5,9669.9747225,9197,9669.9747225,9197,42533,1703,1703,523.604775105463,523.537970735697,523.604775105463,523.537970735697,1
6,10828.86525,10296,10828.86525,10296,50485,2289,2289,574.269168290649,574.248818325784,574.269168290649,574.248818325784,1
7,11992.20872,11406,11992.20872,11406,59851,1915,1915,620.099894857946,620.095133148139,620.099894857946,620.095133148139,1
8,13148.2242735,12506,13148.2242735,12506,64651,2590,2590,661.557957024195,661.525877395494,661.557957024195,661.525877395494,1
9,14291.3481225,13592,14291.3481225,13592,71336,2861,2861,698.936592412243,698.916878302442,698.936592412243,698.916878302442,1
10,15406.701037,14656,15406.701037,14656,71985,3144,3144,732.779949667971,732.792721784911,732.779949667971,732.792721784911,1
11,16500.7285535,15691,16500.7285535,15691,76863,3387,3387,763.397073780202,763.434314576512,763.397073780202,763.434314576512,1
12,17549.755451,16686,17549.755451,16686,82105,3205,3205,791.041933127266,791.036605168194,791.041933127266,791.036605168194,1
13,18557.5022335,17650,18557.5022335,17650,78062,3575,3575,816.096682479665,816.067222558562,816.096682479665,816.067222558562,1
14,19517.131467,18565,19517.131467,18565,81375,3026,3026,838.703635797707,838.708487696482,838.703635797707,838.708487696482,1
15,20420.297119,19423,20420.297119,19423,91883,4110,4110,859.148206711156,859.179751764668,859.148206711156,859.179751764668,1
16,21287.8012125,20247,21287.8012125,20247,87066,4544,4544,877.648319808499,877.643292554547,877.648319808499,877.643292554547,1
17,22090.0789765,21004,22090.0789765,21004,120828,4233,4233,894.238988779537,894.274870258057,894.238988779537,894.274870258057,1
18,22845.784613,21723,22845.784613,21723,105686,4611,4611,909.382869315544,909.340367063911,909.382869315544,909.340367063911,1
19,23558.7224515,22407,23558.7224515,22407,122809,4723,4723,923.143935349714,923.142433215851,923.143935349714,923.142433215851,1
20,24219.6079375,23034,24219.6079375,23034,101424,4903,4903,935.443334231547,935.451928678035,935.443334231547,935.451928678035,1
21,24832.1992205,23616,24832.1992205,23616,110147,4996,4996,946.608514661075,946.624574417993,946.608514661075,946.624574417993,1
22,25385.0357245,24133,25385.0357245,24133,111431,4845,4845,956.685586104859,956.671414794286,956.685586104859,956.671414794286,1
23,25898.1622135,24633,25898.1622135,24633,109005,5503,5503,965.831070017631,965.816264508223,965.831070017631,965.816264508223,1
24,26378.983192,25083,26378.983192,25083,112988,5393,5393,974.094839596658,974.053866836783,974.094839596658,974.053866836783,1
25,26815.2884385,25505,26815.2884385,25505,119867,5266,5266,981.561351080338,981.582504054471,981.561351080338,981.582504054471,1
26,27240.728321,25896,27240.728321,25896,127691,5586,5586,988.316694216611,988.267081599572,988.316694216611,988.267081599572,1
27,27620.305493,26272,27620.305493,26272,117009,5649,5649,994.38917064362,994.40759707399,994.38917064362,994.40759707399,1
28,27954.456536,26589,27954.456536,26589,118237,5458,5458,999.890390868527,999.86389179398,999.890390868527,999.86389179398,1
29,28263.8068755,26881,28263.8068755,26881,128044,5623,5623,1004.97069676388,1004.96471911074,1004.97069676388,1004.96471911074,1
30,28552.7774105,27152,28552.7774105,27152,129812,5418,5418,1009.41913822337,1009.35727470864,1009.41913822337,1009.35727470864,1
31,28815.8699365,27407.5,28815.8699365,27407.5,121509,4438,4438,1013.50239119695,1013.46835820401,1013.50239119695,1013.46835820401,1
32,29044.4689385,27618,29044.4689385,27618,134922,5877,5877,1017.13026205833,1017.09921310154,1017.13026205833,1017.09921310154,1
33,29248.7164935,27814,29248.7164935,27814,133245,5891,5891,1020.43891760342,1020.43306665396,1020.43891760342,1020.43306665396,1
34,29458.1898385,28017,29458.1898385,28017,131535,6033,6033,1023.52798024401,1023.48384388525,1023.52798024401,1023.48384388525,1
35,29634.222194,28176,29634.222194,28176,133175,5329,5329,1026.21833560479,1026.23414547466,1026.21833560479,1026.23414547466,1
36,29798.162397,28343,29798.162397,28343,130631,6120,6120,1028.6529039736,1028.64186842281,1028.6529039736,1028.64186842281,1
37,29945.9861575,28477,29945.9861575,28477,163888,4279,4279,1030.8561733869,1030.80655245138,1030.8561733869,1030.80655245138,1
38,30080.67664,28609,30080.67664,28609,134054,5967,5967,1032.78794117299,1032.79268913125,1032.78794117299,1032.79268913125,1
39,30214.278322,28734,30214.278322,28734,134121,5020,5020,1034.74980475185,1034.75742582906,1034.74980475185,1034.75742582906,1
40,30301.848035,28818,30301.848035,28818,139783,5680,5680,1036.32041713764,1036.32393095276,1036.32041713764,1036.32393095276,1
41,30406.5430735,28920,30406.5430735,28920,155650,5119,5119,1037.86000922419,1037.84145668014,1037.86000922419,1037.84145668014,1
