"Age","Mean_Eggs_All","Median_Eggs_All","Mean_Eggs_Adults","Median_Eggs_Adults","Max_Eggs_Simulated","Min_Eggs_Simulated","Min_Eggs_Simulated_Adults","Mean_Length_All","Median_Length_All","Mean_Length_Adult","Median_Length_Adult","Proportion_Adults"
1,0,0,0,0,0,0,0,261.205206969624,261.227675438307,NA,NA,0
2,0,0,0,0,0,0,0,336.966211655337,336.9908196371,NA,NA,0
3,0,0,0,0,0,0,0,405.480462299028,405.453626096148,NA,NA,0
4,0,0,0,0,0,0,0,467.600234894939,467.565972009843,NA,NA,0
5,0,0,0,0,0,0,0,523.645240027693,523.644048420882,NA,NA,0
6,0,0,0,0,0,0,0,574.20740380659,574.213924924924,NA,NA,0
7,1.491935,0,18649.1875,17594.5,38818,0,9038,620.051100118995,620.072245376913,811.268199927996,807.363624053882,8e-05
8,31.776131,0,18188.970234688,17421,47173,0,6655,661.491949558853,661.498136881073,813.488004017925,809.990373289259,0.001747
9,313.297903,0,18508.7672357772,17729,53765,0,5909,698.923967664335,698.905796750043,816.979734034123,812.568060302895,0.016927
10,1473.945457,0,18693.9788575197,17880,62338,0,5208,732.731360647821,732.746785108841,821.481002362769,816.294242627969,0.078846
11,4174.420038,0,18925.3446160681,18078,71766,0,4725,763.37561722325,763.412903563126,827.259528829331,821.635248510995,0.220573
12,8195.533966,0,19283.2009816263,18397,71992,0,4756,791.006722482874,791.043915682949,834.848858654754,828.977891981848,0.425009
13,12455.900996,14661,19709.5149420704,18799,85201,0,4617,816.051310688002,816.01080336384,844.397725866696,838.799931622593,0.631974
14,16018.241119,17369,20238.7232777192,19276,91196,0,4057,838.598499164838,838.560132233228,855.851906952156,851.18014236463,0.791465
15,18632.486847,18949,20855.0280402808,19862,142394,0,4105,859.155405927567,859.144679059057,868.940850808271,865.503474984094,0.893429
16,20419.900252,20056,21526.6952903535,20492,122080,0,4351,877.673905866991,877.60652711103,882.964434233376,880.677868244193,0.948585
17,21683.248358,20936,22212.48297742,21136,100032,0,4408,894.223014757865,894.252224002781,896.962321166255,895.667797952489,0.976174
18,22654.74043,21684,22901.7588004213,21778,109830,0,4849,909.418013911017,909.455352788532,910.791189313353,910.099395321967,0.989214
19,23473.979269,22407,23588.2407069846,22449,98232,0,4920,923.072175868404,923.062811433416,923.744538361992,923.35605009421,0.995156
20,24168.137511,23016,24223.342508577,23037,101331,0,5079,935.408663543188,935.435300747801,935.750941821614,935.564240521385,0.997721
21,24786.032698,23588,24811.8618461819,23598,110839,0,4978,946.51967173778,946.56086315112,946.685854990489,946.627689829394,0.998959
22,25387.232043,24154,25399.3729432669,24158,104071,0,4982,956.748464963365,956.773171228762,956.82973487992,956.801237720222,0.999522
23,25898.274539,24632,25903.9215939075,24634,111514,0,5072,965.773675841771,965.840199197741,965.81249069627,965.851717307105,0.999782
24,26397.561422,25106,26400.8087214727,25108,113081,0,5661,974.084314804461,974.075428831306,974.107232610769,974.08260123831,0.999877
25,26830.79769,25509,26832.7564812231,25510,128062,0,5246,981.548705833953,981.532953081859,981.562935713782,981.537320218396,0.999927
26,27232.164301,25890,27233.4715076324,25891,116054,0,5946,988.319403439471,988.344307427086,988.329127641943,988.347002031593,0.999952
27,27614.307259,26258,27614.8871716306,26258,138827,0,5968,994.407906602846,994.39312698292,994.412232007166,994.39427720106,0.999979
28,27941.479621,26585,27941.8987494812,26585,140133,0,5658,1000.01311640396,1000.02660485661,1000.01626148937,1000.02764235951,0.999985
29,28274.04688,26905,28274.2165252992,26905,121059,0,6069,1004.83804620769,1004.92136881071,1004.83933957404,1004.92180898615,0.999994
30,28561.536855,27163,28561.7082252494,27163,127873,0,5807,1009.35120532797,1009.40432200374,1009.35253347045,1009.40457654952,0.999994
31,28813.871618,27403,28813.9004319004,27403,133823,0,5294,1013.45990876216,1013.48584399217,1013.46014746453,1013.48590766834,0.999999
32,29049.097548,27631,29049.1846955541,27631,119969,0,5149,1017.1786554415,1017.18072950824,1017.17933562149,1017.18079324046,0.999997
33,29255.441785,27827,29255.471040471,27827,130806,0,5775,1020.52533477748,1020.52961243449,1020.52555972337,1020.52963816264,0.999999
34,29448.722524,27998,29448.751972752,27998,121862,0,6640,1023.44902953523,1023.46511953957,1023.44927280057,1023.46522493706,0.999999
35,29650.448446,28186,29650.5077470155,28186.5,159651,0,6442,1026.14530428718,1026.1101108381,1026.14576025834,1026.11031042206,0.999998
36,29801.931925,28338,29801.931925,28338,126010,5666,5666,1028.67573630321,1028.63367607338,1028.67573630321,1028.63367607338,1
37,29942.990689,28482,29942.990689,28482,132243,5611,5611,1030.86070527615,1030.84486918885,1030.86070527615,1030.84486918885,1
38,30109.620157,28634.5,30109.6502666503,28635,144982,0,6470,1032.98495279327,1033.00535799647,1032.98518788598,1033.00547834297,0.999999
39,30203.004788,28719,30203.0651941304,28719,128084,0,4734,1034.70687327767,1034.70671086518,1034.70735060548,1034.7067868112,0.999998
40,30322.242634,28826,30322.242634,28826,128450,6161,6161,1036.37742434027,1036.37163730378,1036.37742434027,1036.37163730378,1
41,30411.715434,28925,30411.715434,28925,139341,6215,6215,1037.7944095298,1037.83929725398,1037.7944095298,1037.83929725398,1
