"Age","Mean_Eggs_All","Median_Eggs_All","Mean_Eggs_Adults","Median_Eggs_Adults","Max_Eggs_Simulated","Min_Eggs_Simulated","Min_Eggs_Simulated_Adults","Mean_Length_All","Median_Length_All","Mean_Length_Adult","Median_Length_Adult","Proportion_Adults"
1,0,0,0,0,0,0,0,261.179804725928,261.209073019991,NA,NA,0
2,0,0,0,0,0,0,0,336.980694355365,336.976437683407,NA,NA,0
3,0,0,0,0,0,0,0,405.558365170724,405.544516184066,NA,NA,0
4,0,0,0,0,0,0,0,467.548740481308,467.554548448268,NA,NA,0
5,0,0,0,0,0,0,0,523.582901496168,523.587571093182,NA,NA,0
6,0.0381939999999999,0,21218.8888888889,22196,30885,0,9729,574.229700121355,574.256778583409,808.385051068633,806.786872997194,1.8e-06
7,1.4324782,0,18603.612987013,17853,38178,0,6906,620.013187992935,620.033086206557,811.863427274601,808.933345325666,7.7e-05
8,33.3733372,0,18363.2316496093,17479,50436,0,6078,661.493055160444,661.480660803297,813.733163855989,809.835530228041,0.0018174
9,309.9755376,0,18499.5964143759,17687,72320,0,4968,698.926164858145,698.918761232419,817.119754613552,812.593576263564,0.0167558
10,1471.2317368,0,18691.0421225411,17855,68527,0,4160,732.768644528079,732.773975749935,821.524417861553,816.375212607431,0.0787132
11,4180.6264798,0,18936.6554172008,18088,73274,0,4194,763.388099916638,763.38603003074,827.293943761326,821.608092199803,0.220769
12,8201.235915,0,19276.9051291405,18399,76861,0,4156,791.045460519898,791.042846122845,834.856693355081,828.959568668222,0.4254436
13,12455.2308056,14659,19704.2827277246,18788,125119,0,4229,816.029841242479,816.028745279071,844.384202836101,838.796153845636,0.6321078
14,16025.6688312,17377,20234.9259959145,19274,94674,0,4167,838.675914452855,838.660307142065,855.884686870397,851.209905097104,0.7919806
15,18606.0516914,18924,20833.9650817624,19833,91434,0,4040,859.106462189771,859.107769545124,868.919415322253,865.492422737718,0.8930634
16,20402.5063888,20036,21508.9300524859,20469,93846,0,4164,877.592958793582,877.557605053638,882.884315126705,880.624388355271,0.9485598
17,21681.3023634,20922,22210.5850471916,21124,104263,0,4550,894.296089381772,894.312215952575,897.033342833007,895.737933267721,0.9761698
18,22663.9792086,21700,22909.7457976185,21793,109379,0,4412,909.415795671522,909.405610037852,910.77862021814,910.04582831222,0.9892724
19,23476.780345,22394,23590.1167016816,22437,113495,0,4201,923.083131600879,923.076308193541,923.749600313269,923.363892260359,0.9951956
20,24177.3848718,23023,24230.8235300131,23044,119695,0,5143,935.450195507183,935.439460931361,935.780563311816,935.570584003045,0.9977946
21,24807.6297482,23604,24832.8997069418,23613,124746,0,5002,946.628290293448,946.607149499819,946.791164954563,946.667735672378,0.9989824
22,25378.424955,24140,25391.1459191055,24145,118820,0,5016,956.690775420301,956.719325728934,956.775702725557,956.748610626807,0.999499
23,25903.9956898,24636,25910.5147753175,24639,124437,0,5137,965.832780775597,965.842357440382,965.877436144072,965.858026999504,0.9997484
24,26388.7193012,25099,26391.9496758403,25100,125088,0,4505,974.091359444185,974.107144147982,974.114102197637,974.114585543151,0.9998776
25,26835.6020138,25523,26837.3410735016,25523,132632,0,5324,981.549653571668,981.550309259962,981.562099520017,981.554585884358,0.9999352
26,27234.2675186,25901,27235.3787220519,25901,137511,0,5277,988.263201984359,988.260402348414,988.271360999669,988.262799434094,0.9999592
27,27607.8689422,26259,27608.5867654559,26259,131852,0,5257,994.379592803277,994.377823186396,994.384886422306,994.379609184098,0.999974
28,27945.8772266,26579,27946.1902239305,26579,138261,0,5536,999.870134733256,999.865678088335,999.872468259142,999.866125535422,0.9999888
29,28271.6208236,26890,28271.7961087359,26890,141961,0,5053,1004.9158356548,1004.90907528465,1004.91717338115,1004.90935525989,0.9999938
30,28540.7415264,27145,28540.8842308212,27145,147509,0,5157,1009.37264233313,1009.37574097303,1009.37374312834,1009.37594303453,0.999995
31,28806.8569234,27396,28807.0009584048,27396,154330,0,5116,1013.47874477289,1013.46287153609,1013.4798703379,1013.46331882991,0.999995
32,29042.8306484,27620,29042.9119685535,27620,163456,0,4263,1017.14353996429,1017.14745635908,1017.14416744684,1017.14759714272,0.9999972
33,29261.1574262,27830,29261.2042441268,27830,144369,0,4930,1020.46034738532,1020.48056594687,1020.46071518798,1020.48063946929,0.9999984
34,29455.0073462,28007,29455.0426922512,28007,131362,0,5417,1023.49014891863,1023.49784070132,1023.49042658422,1023.49785930699,0.9999988
35,29643.6940608,28187,29643.7474195454,28187,141188,0,5056,1026.22206812584,1026.24428703302,1026.2225008398,1026.24437149246,0.9999982
36,29800.1463142,28343,29800.1761143761,28343,158388,0,5365,1028.61951892023,1028.62405844913,1028.61975762291,1028.6241177937,0.999999
37,29955.5256668,28489,29955.5496312397,28489,139314,0,5686,1030.91730967865,1030.91260380245,1030.91750549702,1030.91268519514,0.9999992
38,30071.244732,28597,30071.2507462501,28597,143054,0,5676,1032.91387550815,1032.90996673632,1032.91392574839,1032.90999877605,0.9999998
39,30200.2366436,28719,30200.2426836485,28719,134556,0,5611,1034.70967028271,1034.69199593873,1034.70971969542,1034.69200190525,0.9999998
40,30316.4568206,28832,30316.4689471876,28832,138483,0,5835,1036.37553631558,1036.36308391842,1036.37563319542,1036.36311292158,0.9999996
41,30421.2270418,28931,30421.2331260466,28931,159132,0,5267,1037.88023508253,1037.88181515781,1037.88028372921,1037.88182628208,0.9999998
