"Age","Mean_Eggs_Produced","Median_Eggs_Produced","Max_Eggs_Simulated","Min_Eggs_Simulated","Mean_Length","Median_Length"
1,5386.079028,5122,22144,1044,261.256513161894,261.233251957501
2,6380.323736,6070,26223,1310,336.995381658478,337.017112990329
3,7433.504716,7069,33507,1049,405.517781619738,405.546108089837
4,8537.765534,8122,42679,1625,467.637096708993,467.687536708651
5,9672.516678,9195,46936,2140,523.600840653226,523.562064612182
6,10827.299513,10295,48575,2402,574.276176088199,574.245787777113
7,11985.432094,11397,52766,2545,620.045572391128,619.952908928051
8,13149.750582,12501,58291,2729,661.47543925494,661.508934410443
9,14300.016239,13599,68090,2733,698.953240453243,698.973001346006
10,15403.134367,14649,75626,2985,732.7446735993,732.663733761048
11,16488.813065,15679,64944,3563,763.389360981478,763.362227778689
12,17554.875944,16700,90396,3329,791.054447276675,791.086651905568
13,18557.41875,17649,103084,3584,816.023050437979,816.051611806381
14,19513.478603,18563,78096,3974,838.595004226997,838.597622027642
15,20419.170748,19418,90217,4465,859.072611320608,859.089030181197
16,21282.254101,20246,126304,4444,877.474051971344,877.479812361754
17,22084.523107,20998,95549,4786,894.43177961404,894.444602636941
18,22841.471059,21731,103656,4627,909.407239352103,909.466534449113
19,23562.394865,22397,116279,5026,923.101432447868,923.135171135344
20,24216.823019,23044,105182,4760,935.378333305947,935.345220924912
21,24818.612878,23597,117824,4588,946.564012978641,946.562355580178
22,25383.904955,24147,110246,5420,956.784150160313,956.789815042743
23,25899.476052,24640,119563,5024,965.818341498018,965.882352665656
24,26384.539875,25092,120034,5370,974.118656449117,974.101939166243
25,26829.95767,25532,122245,5235,981.478239116899,981.478912978597
26,27236.143151,25918,125803,5410,988.316820708784,988.375800419902
27,27617.893943,26269,119493,6030,994.375155711699,994.433185887688
28,27948.291416,26577,131816,5576,999.919909424646,999.863372463312
29,28260.696463,26863,136134,6309,1004.85226296577,1004.86281330616
30,28547.845906,27168,125947,6133,1009.35467282703,1009.36833426698
31,28818.819242,27398,122508,6030,1013.54040062013,1013.54187316102
32,29045.367679,27634,124847,5932,1017.12585726184,1017.17887127171
33,29254.886899,27840,120914,5776,1020.3762303379,1020.34550268752
34,29449.549529,28011,131539,6092,1023.50669144844,1023.47892028728
35,29638.774959,28185,137492,6034,1026.18897789631,1026.14235399655
36,29787.705911,28325,135099,6936,1028.69233792825,1028.66241365992
37,29932.316167,28471,128961,6005,1030.86811698097,1030.8643001343
38,30067.668266,28588,131997,5695,1032.89679159693,1032.94545870182
39,30206.96803,28726,130886,5739,1034.72472136817,1034.67790054034
40,30313.591182,28832,143969,6216,1036.36638008774,1036.3867208399
41,30404.493969,28921,142553,6345,1037.84857596439,1037.85938220383
